"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties"
"CHEMBL301536";"";"None";"313.35";"0";"2.75";"32, LY-339434";"N[C@@H](C[C@@H](C/C=C/c1ccc2ccccc2c1)C(=O)O)C(=O)O";"Ki";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL698072";"Binding affinity against human ionotropic glutamate receptor kainate 1 in HK293 cells using [3H]kainate as radioligand";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"HEK293";"None";"";"";"";"CHEMBL1918";"Glutamate receptor ionotropic kainate 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1133179";"1";"Scientific Literature";"J Med Chem";"2000";"CHEMBL3307715";""
"CHEMBL370038";"";"None";"254.21";"0";"-1.47";"2 (S)";"Cn1nnc(-c2onc(O)c2C[C@H](N)C(=O)O)n1";"Ki";"'='";"81.0";"nM";"7.09";"";"";"UO_0000065";"27.90";"0.54";"8.56";"4.63";"0";"CHEMBL829123";"Binding affinity for kainate Glutamate receptor GluR5 expressed in Sf9 cells";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"Sf9";"None";"";"";"";"CHEMBL1918";"Glutamate receptor ionotropic kainate 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1144430";"1";"Scientific Literature";"J Med Chem";"2005";"CHEMBL3308860";""
"CHEMBL3088066";"";"None";"418.50";"0";"3.18";"25";"O=C(O)[C@@H]1C[C@H]2C[C@@H](Nc3cc(-c4ccccc4)ccc3-c3nnn[nH]3)CC[C@H]2CN1";"Ki";"'='";"1100.0";"nM";"5.96";"";"";"UO_0000065";"14.24";"0.26";"2.78";"5.14";"0";"CHEMBL3089690";"Displacement of [3H]ATPA from human Gluk1 receptor";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1918";"Glutamate receptor ionotropic kainate 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3085631";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2013";"None";""
"CHEMBL2440516";"";"None";"369.85";"0";"2.30";"23";"Cc1ccc(O[C@H]2CC[C@H]3CN[C@H](C(=O)O)C[C@H]3C2)c(C(=O)O)c1.Cl";"Ki";"'='";"9900.0";"nM";"5.00";"";"";"UO_0000065";"15.01";"0.28";"2.70";"5.22";"0";"CHEMBL2443753";"Binding affinity to GluK1 receptor (unknown origin)";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1918";"Glutamate receptor ionotropic kainate 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2440037";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2013";"None";""
"CHEMBL2440686";"";"None";"373.81";"0";"2.13";"19";"Cl.O=C(O)c1c(F)cccc1O[C@H]1CC[C@H]2CN[C@H](C(=O)O)C[C@H]2C1";"Ki";"'='";"9700.0";"nM";"5.01";"";"";"UO_0000065";"14.86";"0.29";"2.88";"5.23";"0";"CHEMBL2443753";"Binding affinity to GluK1 receptor (unknown origin)";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1918";"Glutamate receptor ionotropic kainate 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2440037";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2013";"None";""
"CHEMBL2440695";"";"None";"335.43";"0";"2.71";"15";"O=C(O)c1ccc(S[C@H]2CC[C@H]3CN[C@H](C(=O)O)C[C@H]3C2)cc1";"Ki";"'='";"19000.0";"nM";"4.72";"";"";"UO_0000065";"14.08";"0.28";"2.01";"5.45";"0";"CHEMBL2443753";"Binding affinity to GluK1 receptor (unknown origin)";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1918";"Glutamate receptor ionotropic kainate 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2440037";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2013";"None";""
"CHEMBL298779";"";"None";"187.19";"0";"0.21";"22";"CC(C)=C(C[C@H](N)C(=O)O)C(=O)O";"Ki";"'='";"13900.0";"nM";"4.86";"";"";"UO_0000065";"25.95";"0.51";"4.65";"4.83";"0";"CHEMBL697426";"Binding affinity of compound was determined against Ionotropic glutamate receptor ionotropic kainate 1 using cell membranes prepared from HEK293 cells";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"HEK293";"None";"";"";"";"CHEMBL1918";"Glutamate receptor ionotropic kainate 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1133269";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2000";"CHEMBL3307715";""
"CHEMBL3088074";"";"None";"437.93";"0";"2.26";"33";"CC(C)Oc1ccc(-c2nnn[nH]2)c(O[C@H]2CC[C@H]3CN[C@H](C(=O)O)C[C@H]3C2)c1.Cl";"Ki";"'='";"900.0";"nM";"6.05";"";"";"UO_0000065";"15.06";"0.28";"3.79";"4.95";"0";"CHEMBL3089690";"Displacement of [3H]ATPA from human Gluk1 receptor";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1918";"Glutamate receptor ionotropic kainate 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3085631";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2013";"None";""
"CHEMBL372643";"";"None";"282.26";"0";"-0.60";"5b";"CCCn1nnc(-c2onc(O)c2CC(N)C(=O)O)n1";"Ki";"'='";"5450.0";"nM";"5.26";"";"";"UO_0000065";"18.65";"0.36";"5.86";"3.44";"0";"CHEMBL829123";"Binding affinity for kainate Glutamate receptor GluR5 expressed in Sf9 cells";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"Sf9";"None";"";"";"";"CHEMBL1918";"Glutamate receptor ionotropic kainate 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1144430";"1";"Scientific Literature";"J Med Chem";"2005";"CHEMBL3308860";""
"CHEMBL222519";"NBQX";"None";"336.29";"0";"0.75";"13";"NS(=O)(=O)c1cccc2c1c([N+](=O)[O-])cc1nc(O)c(O)nc12";"Ki";"'='";"11730.0";"nM";"4.93";"";"";"UO_0000065";"14.66";"0.29";"4.18";"2.91";"0";"CHEMBL828279";"Inhibition of [3H]-KA binding to iontropic glutamate receptor 5";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1918";"Glutamate receptor ionotropic kainate 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1139549";"1";"Scientific Literature";"J Med Chem";"2005";"None";""
