"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties"
"CHEMBL421867";"";"0";"428.62";"1";"5.48";"16";"c1ccc(CCCNC2CCN(CCOC(c3ccccc3)c3ccccc3)CC2)cc1";"IC50";"'='";"390.0";"nM";"6.41";"";"";"UO_0000065";"14.95";"0.27";"0.93";"26.16";"0";"CHEMBL670828";"Inhibition of [3H]dopamine reuptake in HEK293 cells expressing human dopamine transporter";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL238";"Dopamine transporter";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1133662";"1";"Scientific Literature";"J. Med. Chem.";"2000";"CHEMBL3307715";""
"CHEMBL336940";"";"0";"314.77";"0";"2.62";"42";"COc1cccc2c1C1=NCCN1C2(O)c1ccc(Cl)cc1";"IC50";"'='";"4.75";"nM";"8.32";"";"";"UO_0000065";"26.44";"0.52";"5.70";"18.47";"0";"CHEMBL672394";"Displacement of [3H]WIN-35428 from Dopamine Transporter of guinea pig striatal membrane";"B";"BAO_0000019";"assay format";"Cavia porcellus";"None";"None";"None";"None";"";"";"";"CHEMBL238";"Dopamine transporter";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1135775";"1";"Scientific Literature";"J. Med. Chem.";"2002";"None";""
"CHEMBL306208";"";"0";"293.79";"0";"3.08";"19c";"COC(=O)C1C(c2ccc(Cl)cc2)CC2CCC1N2C";"IC50";"'='";"2.4";"nM";"8.62";"";"";"UO_0000065";"29.34";"0.59";"5.54";"29.18";"0";"CHEMBL672387";"inhibition of [3H]WIN-35428 binding to the dopamine transporter (DAT) in monkey caudate-putamen.";"B";"BAO_0000221";"tissue-based format";"Cercopithecidae";"CHEMBL3638267";"Caudate-putamen";"None";"None";"";"";"";"CHEMBL238";"Dopamine transporter";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1130119";"1";"Scientific Literature";"J. Med. Chem.";"1997";"None";""
"CHEMBL544370";"";"0";"344.80";"0";"2.07";"19";"Cl.OC1(c2ccc3c(c2)OCO3)c2ccccc2C2=NCCCN21";"IC50";"'='";"2.21";"nM";"8.66";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL672996";"Ability to block the uptake of 5-HT at the Dopamine transporter of HEK cells expressing cDNA for the human transporter (hDAT)";"F";"BAO_0000219";"cell-based format";"None";"None";"None";"HEK293";"None";"";"";"";"CHEMBL238";"Dopamine transporter";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1135775";"1";"Scientific Literature";"J. Med. Chem.";"2002";"CHEMBL3307715";""
"CHEMBL285342";"";"0";"333.78";"0";"3.83";"12";"CN1C2CCC1[C@H](C(O)C(F)(F)F)[C@@H](c1ccc(Cl)cc1)C2";"IC50";"'='";"125.0";"nM";"6.90";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL674129";"Inhibitory concentration against [3H]dopamine uptake";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL238";"Dopamine transporter";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1159182";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"1993";"None";""
"CHEMBL1095523";"";"0";"363.35";"0";"3.74";"21a";"OC1(C(CN2CCNCC2)c2cc(Cl)sc2Cl)CCCCC1";"IC50";"";"";"";"";"";"Not Determined";"";"";"";"";"";"0";"CHEMBL1115567";"Displacement of [3H]WIN-35428 form human DAT expressed in CHO cell membranes";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL238";"Dopamine transporter";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1158540";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2010";"CHEMBL3308072";""
"CHEMBL1099134";"";"0";"341.50";"0";"2.86";"10b";"Cn1cc(C(CN2CCNCC2)C2(O)CCCCC2)c2ccccc21";"IC50";"";"";"";"";"";"Not Determined";"";"";"";"";"";"0";"CHEMBL1115567";"Displacement of [3H]WIN-35428 form human DAT expressed in CHO cell membranes";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL238";"Dopamine transporter";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1158540";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2010";"CHEMBL3308072";""
"CHEMBL218847";"";"0";"251.80";"0";"4.37";"(RS/SR)-10c";"CCCC(c1ccc(Cl)cc1)C1CCCCN1";"IC50";"'='";"7.4";"nM";"8.13";"";"";"UO_0000065";"32.29";"0.65";"3.76";"67.59";"0";"CHEMBL911125";"Inhibition of [3H]DA uptake at human DAT expressing HEK293 cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL238";"Dopamine transporter";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1139231";"1";"Scientific Literature";"J. Med. Chem.";"2007";"CHEMBL3307715";""
"CHEMBL370805";"COCAINE";"4";"303.36";"0";"1.87";"cocaine";"COC(=O)[C@H]1[C@@H](OC(=O)c2ccccc2)C[C@@H]2CC[C@H]1N2C";"IC50";"'='";"240.0";"nM";"6.62";"";"";"UO_0000065";"21.82";"0.41";"4.75";"11.85";"0";"CHEMBL911125";"Inhibition of [3H]DA uptake at human DAT expressing HEK293 cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL238";"Dopamine transporter";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1139231";"1";"Scientific Literature";"J. Med. Chem.";"2007";"CHEMBL3307715";""
"CHEMBL109571";"";"0";"279.43";"0";"4.53";"16b";"CN(C)CC1C2CCC(C2)C1c1ccc2ccccc2c1";"IC50";"'='";"95.0";"nM";"7.02";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL674127";"In vitro inhibition of DA re-uptake into synaptosome";"F";"BAO_0000221";"tissue-based format";"None";"CHEMBL3638188";"Brain";"None";"None";"";"";"";"CHEMBL238";"Dopamine transporter";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1136239";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2003";"None";""
