"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value"
"CHEMBL4473140";"";"None";"464.52";"0";"4.66";"30";"O=C(Nc1n[nH]c2cc(-c3cccc(NS(=O)(=O)Cc4ccccc4F)c3)ccc12)C1CC1";"Ki";"'='";"22.0";"nM";"7.66";"";"";"UO_0000065";"16.48";"0.32";"3.00";"7.37";"0";"CHEMBL4345183";"Displacement of Alexafluor labelled kinase tracer236 from biotinylated C-terminal Avi-tagged AAK1 kinase domain (31 to 396 residues) (unknown origin) expressed in Escherichia coli measured after 1.5 hrs by TR-FRET assay";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3830";"Adaptor-associated kinase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4342487";"1";"Scientific Literature";"ACS Med Chem Lett";"2020";"None";"";"";""
"CHEMBL4447403";"";"None";"466.49";"0";"3.95";"33";"O=C(Nc1n[nH]c2cc(-c3cccc(CNS(=O)(=O)CCC(F)(F)F)c3)ccc12)C1CC1";"Ki";"'='";"32.0";"nM";"7.50";"";"";"UO_0000065";"16.07";"0.32";"3.54";"7.21";"0";"CHEMBL4345183";"Displacement of Alexafluor labelled kinase tracer236 from biotinylated C-terminal Avi-tagged AAK1 kinase domain (31 to 396 residues) (unknown origin) expressed in Escherichia coli measured after 1.5 hrs by TR-FRET assay";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3830";"Adaptor-associated kinase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4342487";"1";"Scientific Literature";"ACS Med Chem Lett";"2020";"None";"";"";""
"CHEMBL4535040";"";"None";"410.50";"0";"3.87";"32";"O=C(Nc1n[nH]c2cc(-c3cccc(NS(=O)(=O)C4CCC4)c3)ccc12)C1CC1";"Ki";"'='";"8.5";"nM";"8.07";"";"";"UO_0000065";"19.66";"0.38";"4.20";"7.76";"0";"CHEMBL4345183";"Displacement of Alexafluor labelled kinase tracer236 from biotinylated C-terminal Avi-tagged AAK1 kinase domain (31 to 396 residues) (unknown origin) expressed in Escherichia coli measured after 1.5 hrs by TR-FRET assay";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3830";"Adaptor-associated kinase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4342487";"1";"Scientific Literature";"ACS Med Chem Lett";"2020";"None";"";"";""
"CHEMBL4561238";"";"None";"481.50";"0";"3.41";"34";"CN(CC(F)(F)F)S(=O)(=O)NCc1cccc(-c2ccc3c(NC(=O)C4CC4)n[nH]c3c2)c1";"Ki";"'='";"44.0";"nM";"7.36";"";"";"UO_0000065";"15.28";"0.30";"3.95";"6.86";"0";"CHEMBL4345183";"Displacement of Alexafluor labelled kinase tracer236 from biotinylated C-terminal Avi-tagged AAK1 kinase domain (31 to 396 residues) (unknown origin) expressed in Escherichia coli measured after 1.5 hrs by TR-FRET assay";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3830";"Adaptor-associated kinase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4342487";"1";"Scientific Literature";"ACS Med Chem Lett";"2020";"None";"";"";""
"CHEMBL4534959";"";"None";"410.50";"0";"3.73";"24";"O=C(Nc1n[nH]c2cc(-c3cccc(NS(=O)(=O)CC4CC4)c3)ccc12)C1CC1";"Ki";"'='";"6.3";"nM";"8.20";"";"";"UO_0000065";"19.98";"0.39";"4.47";"7.89";"0";"CHEMBL4345183";"Displacement of Alexafluor labelled kinase tracer236 from biotinylated C-terminal Avi-tagged AAK1 kinase domain (31 to 396 residues) (unknown origin) expressed in Escherichia coli measured after 1.5 hrs by TR-FRET assay";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3830";"Adaptor-associated kinase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4342487";"1";"Scientific Literature";"ACS Med Chem Lett";"2020";"None";"";"";""
"CHEMBL516312";"";"None";"339.36";"0";"3.75";"1";"N#Cc1ccc(-c2cnc3[nH]cc(NC(=O)c4cccnc4)c3c2)cc1";"Ki";"'='";"541.0";"nM";"6.27";"";"";"UO_0000065";"18.47";"0.33";"2.52";"6.63";"0";"CHEMBL4305761";"Binding affinity to biotinylated AAK1 (unknown origin) incubated for 1.5 hrs by fluorescent tracer dependent TR-FRET based binding displacement assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3830";"Adaptor-associated kinase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4304760";"1";"Scientific Literature";"J Med Chem";"2019";"None";"";"";""
"CHEMBL4452939";"";"None";"427.53";"0";"3.58";"25; SGC-AAK1-1";"CCN(CC)S(=O)(=O)Nc1cccc(-c2ccc3c(NC(=O)C4CC4)n[nH]c3c2)c1";"Ki";"'='";"9.1";"nM";"8.04";"";"";"UO_0000065";"18.81";"0.37";"4.46";"7.50";"0";"CHEMBL4345183";"Displacement of Alexafluor labelled kinase tracer236 from biotinylated C-terminal Avi-tagged AAK1 kinase domain (31 to 396 residues) (unknown origin) expressed in Escherichia coli measured after 1.5 hrs by TR-FRET assay";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3830";"Adaptor-associated kinase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4342487";"1";"Scientific Literature";"ACS Med Chem Lett";"2020";"None";"";"";""
"CHEMBL4522276";"";"None";"426.54";"0";"3.65";"36";"CC(C)CS(=O)(=O)NCc1cccc(-c2ccc3c(NC(=O)C4CC4)n[nH]c3c2)c1";"Ki";"'='";"30.0";"nM";"7.52";"";"";"UO_0000065";"17.64";"0.34";"3.87";"7.24";"0";"CHEMBL4345183";"Displacement of Alexafluor labelled kinase tracer236 from biotinylated C-terminal Avi-tagged AAK1 kinase domain (31 to 396 residues) (unknown origin) expressed in Escherichia coli measured after 1.5 hrs by TR-FRET assay";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3830";"Adaptor-associated kinase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4342487";"1";"Scientific Literature";"ACS Med Chem Lett";"2020";"None";"";"";""
"CHEMBL4531680";"";"None";"413.50";"0";"3.19";"26";"CCN(C)S(=O)(=O)Nc1cccc(-c2ccc3c(NC(=O)C4CC4)n[nH]c3c2)c1";"Ki";"'='";"8.2";"nM";"8.09";"";"";"UO_0000065";"19.56";"0.38";"4.90";"7.54";"0";"CHEMBL4345183";"Displacement of Alexafluor labelled kinase tracer236 from biotinylated C-terminal Avi-tagged AAK1 kinase domain (31 to 396 residues) (unknown origin) expressed in Escherichia coli measured after 1.5 hrs by TR-FRET assay";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3830";"Adaptor-associated kinase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4342487";"1";"Scientific Literature";"ACS Med Chem Lett";"2020";"None";"";"";""
"CHEMBL4582326";"";"None";"452.46";"0";"3.56";"35";"O=C(Nc1n[nH]c2cc(-c3cccc(CNS(=O)(=O)CC(F)(F)F)c3)ccc12)C1CC1";"Ki";"'='";"39.0";"nM";"7.41";"";"";"UO_0000065";"16.37";"0.33";"3.85";"7.13";"0";"CHEMBL4345183";"Displacement of Alexafluor labelled kinase tracer236 from biotinylated C-terminal Avi-tagged AAK1 kinase domain (31 to 396 residues) (unknown origin) expressed in Escherichia coli measured after 1.5 hrs by TR-FRET assay";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3830";"Adaptor-associated kinase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4342487";"1";"Scientific Literature";"ACS Med Chem Lett";"2020";"None";"";"";""
